Rita Ora,Girls (feat. Cardi B Bebe Rexha & Charli XCX),Girls (feat. Cardi B Bebe Rexha & Charli XCX),11 Aug 2018 13:59
Charli XCX,5 in the Morning,5 in the Morning,11 Aug 2018 13:56
Charli XCX,Focus / No Angel,No Angel,11 Aug 2018 13:53
Charli XCX,Focus / No Angel,Focus,11 Aug 2018 13:49
Charli XCX,Pop 2,Delicious (feat. Tommy Cash),11 Aug 2018 13:46
Charli XCX,Pop 2,Femmebot (feat. Dorian Electra and Mykki Blanco),11 Aug 2018 13:43
Nicki Minaj,Queen,Barbie Dreams,11 Aug 2018 13:43
Nicki Minaj,Queen,Majesty (feat. Eminem & Labrinth),11 Aug 2018 13:02
Nicki Minaj,Queen,Chun Swae (feat. Swae Lee),11 Aug 2018 12:53
Nicki Minaj,Queen,Majesty (feat. Eminem & Labrinth),11 Aug 2018 12:50
Nicki Minaj,Queen,Barbie Dreams,11 Aug 2018 12:46
Nicki Minaj,Queen,Run & Hide,10 Aug 2018 21:29
Nicki Minaj,Queen,Run & Hide,10 Aug 2018 21:22
Nicki Minaj,Queen,Thought I Knew You (feat. The Weeknd),10 Aug 2018 21:19
Nicki Minaj,Queen,Bed (feat. Ariana Grande),10 Aug 2018 21:16
Nicki Minaj,Queen,Rich Sex (feat. Lil Wayne),10 Aug 2018 21:12
Nicki Minaj,Queen,Hard White,10 Aug 2018 21:12
Nicki Minaj,Queen,Rich Sex (feat. Lil Wayne),10 Aug 2018 21:06
BANKS,The Altar,Lovesick,10 Aug 2018 20:22
Nicki Minaj,Queen,Ganja Burns,10 Aug 2018 20:12
Nicki Minaj,Queen,Barbie Dreams,10 Aug 2018 17:21
Nicki Minaj,Queen,Majesty (feat. Eminem & Labrinth),10 Aug 2018 17:16
Nicki Minaj,Queen,Ganja Burns,10 Aug 2018 17:11
Marina & the Diamonds,Electra Heart,Hypocrates,10 Aug 2018 17:11
Marina & the Diamonds,Electra Heart,Hypocrates,10 Aug 2018 14:44
Lana Del Rey,Paradise,Bel Air,10 Aug 2018 14:44
Grimes,Art Angels,Easily,10 Aug 2018 14:23
Allie X,CollXtion II,True Love is Violent,10 Aug 2018 14:19
Marina & the Diamonds,FROOT,I'm a Ruin,10 Aug 2018 14:14
TransViolet,Kaleidoscopes,Bruises,10 Aug 2018 14:11
Charli XCX,Boys,Boys,10 Aug 2018 14:08
Grimes,Art Angels,Kill V. Maim,10 Aug 2018 14:04
Zella Day,Man on the Moon / Hunnie Pie,Hunnie Pie,10 Aug 2018 14:00
Phoebe Ryan,Forgetting All About You feat. Blackbear,Forgetting All About You feat. Blackbear,10 Aug 2018 13:57
BANKS,The Altar,Mind Games,10 Aug 2018 13:52
Allie X,Purge,Purge,10 Aug 2018 13:49
Poppy,Bubblebath,Lowlife,10 Aug 2018 13:45
Marina & the Diamonds,Electra Heart (Deluxe),Bubblegum Bitch,10 Aug 2018 13:43
Zella Day,Kicker,East of Eden,10 Aug 2018 13:40
Muna,The Loudspeaker EP,So Special,10 Aug 2018 13:36
Allie X,Paper Love (Acoustic),Paper Love - Acoustic,10 Aug 2018 13:33
Allie X,Paper Love (Billboard Remix),Paper Love - Billboard Remix,10 Aug 2018 13:29
Allie X,Paper Love (Stress Remix),Paper Love - Stress Remix,10 Aug 2018 13:26
Allie X,Casanova,Casanova,10 Aug 2018 13:22
Allie X,Casanova (The Wild Remix),Casanova - The Wild Remix,10 Aug 2018 13:18
Allie X,Lifted (Banx & Ranx Remix),Lifted - Banx & Ranx Remix,10 Aug 2018 13:15
Allie X,Focus,Focus,10 Aug 2018 13:11
Allie X,Focus (Analog Version),Focus - Analog Version,10 Aug 2018 13:07
Allie X,Not So Bad In LA,Not So Bad in LA,10 Aug 2018 13:04
Allie X,CollXtion I,Never Enough,10 Aug 2018 13:00
Allie X,CollXtion I,Sanctuary,10 Aug 2018 12:56
Allie X,CollXtion I,Good,10 Aug 2018 12:52
Allie X,CollXtion I,Bitch,10 Aug 2018 12:48
Allie X,CollXtion I,Tumor,10 Aug 2018 12:45
Allie X,CollXtion I,Prime,10 Aug 2018 12:41
Allie X,CollXtion I,Catch,10 Aug 2018 12:37
Allie X,CollXtion I,Hello,10 Aug 2018 12:33
Allie X,CollXtion II,True Love is Violent,10 Aug 2018 12:30
Allie X,CollXtion II,Downtown,10 Aug 2018 12:26
Allie X,CollXtion II,That's So Us,10 Aug 2018 12:22
Allie X,CollXtion II,Old Habits Die Hard,10 Aug 2018 12:18
Allie X,CollXtion II,Simon Says,10 Aug 2018 12:15
Allie X,CollXtion II,Lifted,10 Aug 2018 12:12
Allie X,CollXtion II,Paper Love,10 Aug 2018 12:07
Allie X,Alexandra,Alexandra,10 Aug 2018 12:04
Lykke Li,so sad so sexy,jaguars in the air,10 Aug 2018 12:00
Bülow,Damaged Vol. 2,Honor Roll,10 Aug 2018 11:57
The Neighbourhood,Wiped Out!,Daddy Issues,10 Aug 2018 11:52
Billie Eilish,dont smile at me,ocean eyes,10 Aug 2018 11:49
The Carters,EVERYTHING IS LOVE,NICE,10 Aug 2018 11:49
The Carters,EVERYTHING IS LOVE,NICE,10 Aug 2018 09:59
The Carters,EVERYTHING IS LOVE,BOSS,10 Aug 2018 09:55
The Carters,EVERYTHING IS LOVE,APESHIT,10 Aug 2018 09:50
Mariah Carey,The Emancipation of Mimi,We Belong Together,10 Aug 2018 09:47
Marina & the Diamonds,FROOT,Happy,09 Aug 2018 20:49
Marina & the Diamonds,Electra Heart (Deluxe),Bubblegum Bitch,09 Aug 2018 20:47
Marina & the Diamonds,The Family Jewels,Obsessions,09 Aug 2018 20:43
Marina & the Diamonds,Electra Heart (Deluxe),Teen Idle,09 Aug 2018 20:39
Marina & the Diamonds,The Family Jewels,Girls,09 Aug 2018 20:35
Taylor Swift,1989,I Know Places,09 Aug 2018 20:32
Taylor Swift,reputation,Delicate,09 Aug 2018 20:17
Taylor Swift,reputation,Getaway Car,09 Aug 2018 20:13
Tove Lo,BLUE LIPS (lady wood phase II),shedontknowbutsheknows,09 Aug 2018 20:09
Taylor Swift,reputation,Dancing with Our Hands Tied,09 Aug 2018 20:09
Tove Lo,BLUE LIPS (lady wood phase II),disco tits,09 Aug 2018 19:54
The Veronicas,The Veronicas,More Like Me,09 Aug 2018 19:50
Marina & the Diamonds,Electra Heart (Deluxe),Valley of the Dolls,09 Aug 2018 19:46
The Neighbourhood,I Love You.,A Little Death,09 Aug 2018 19:43
Marina & the Diamonds,The Family Jewels,Hermit the Frog,09 Aug 2018 19:42
Marina & the Diamonds,The Family Jewels,Hermit the Frog,09 Aug 2018 19:30
Lorde,Pure Heroine,Glory and Gore,09 Aug 2018 15:27
Lorde,Pure Heroine,Team,09 Aug 2018 15:24
Lorde,Pure Heroine,Buzzcut Season,09 Aug 2018 15:20
Lorde,Pure Heroine,400 Lux,09 Aug 2018 15:15
Lorde,Pure Heroine,400 Lux,09 Aug 2018 14:00
Lorde,Pure Heroine,Buzzcut Season,09 Aug 2018 13:57
Lorde,Pure Heroine,Buzzcut Season,09 Aug 2018 12:10
Lorde,Pure Heroine,Ribs,09 Aug 2018 12:05
Lorde,Pure Heroine,Royals,09 Aug 2018 12:02
Lorde,Pure Heroine,400 Lux,09 Aug 2018 11:59
Lorde,Pure Heroine,Tennis Court,09 Aug 2018 11:56
Lorde,Melodrama,The Louvre,09 Aug 2018 11:52
Lorde,Pure Heroine (Extended),Ribs,09 Aug 2018 11:47
Lorde,Pure Heroine (Extended),Swingin Party,09 Aug 2018 11:44
Bea Miller,Aurora,bored,08 Aug 2018 19:33
Bea Miller,Aurora,girlfriend,08 Aug 2018 19:30
Bea Miller,Aurora,outside,08 Aug 2018 19:27
Bea Miller,Aurora,buy me diamonds,08 Aug 2018 19:24
Lorde,Pure Heroine (Extended),400 Lux,08 Aug 2018 13:04
Lorde,Pure Heroine (Extended),400 Lux,08 Aug 2018 12:01
Lorde,Melodrama,Sober II (Melodrama),08 Aug 2018 11:57
Marina & the Diamonds,Electra Heart (Deluxe),Primadonna,07 Aug 2018 21:15
Marina & the Diamonds,FROOT,Savages,07 Aug 2018 21:11
Marina & the Diamonds,Electra Heart (Deluxe),Lies,07 Aug 2018 21:07
Marina & the Diamonds,FROOT,Can't Pin Me Down,07 Aug 2018 21:04
Marina & the Diamonds,The Family Jewels,I Am Not a Robot,07 Aug 2018 21:00
Clean Bandit,Disconnect,Disconnect,07 Aug 2018 20:56
Lana Del Rey,Born to Die - The Paradise Edition,Ride,07 Aug 2018 17:12
Lana Del Rey,Born to Die - The Paradise Edition,Ride,07 Aug 2018 17:03
Lana Del Rey,Ultraviolence (Deluxe),Old Money,07 Aug 2018 16:58
Lana Del Rey,Ultraviolence (Deluxe),Sad Girl,06 Aug 2018 19:12
Lana Del Rey,Ultraviolence (Deluxe),West Coast,06 Aug 2018 19:08
Lana Del Rey,Ultraviolence (Deluxe),Cruel World,06 Aug 2018 19:01
Lana Del Rey,Honeymoon,Don't Let Me Be Misunderstood,06 Aug 2018 18:58
Lana Del Rey,Honeymoon,Swan Song,06 Aug 2018 18:53
Lana Del Rey,Honeymoon,24,06 Aug 2018 18:48
Lana Del Rey,Honeymoon,Swan Song,06 Aug 2018 18:42
Lorde,Melodrama,Supercut,06 Aug 2018 18:42
Lorde,Melodrama,Perfect Places,06 Aug 2018 12:29
Lorde,Pure Heroine,Tennis Court,06 Aug 2018 12:26
Lorde,Melodrama,Liability,06 Aug 2018 12:23
Lorde,Pure Heroine,Team,06 Aug 2018 12:20
Lorde,Melodrama,Homemade Dynamite - Remix,06 Aug 2018 12:16
Lorde,Melodrama,Green Light,06 Aug 2018 12:12
Lorde,Pure Heroine,Royals,06 Aug 2018 12:09
Lorde,Pure Heroine,Ribs,06 Aug 2018 12:09
Marina & the Diamonds,The Family Jewels,Obsessions,04 Aug 2018 13:11
Marina & the Diamonds,FROOT,I'm a Ruin,04 Aug 2018 13:06
Marina & the Diamonds,Electra Heart (Deluxe),Starring Role,04 Aug 2018 13:03
Marina & the Diamonds,Electra Heart (Deluxe),Bubblegum Bitch,04 Aug 2018 13:00
Marina & the Diamonds,The Family Jewels,Are You Satisfied?,04 Aug 2018 12:57
Marina & the Diamonds,Electra Heart (Deluxe),Teen Idle,04 Aug 2018 12:52
Marina & the Diamonds,FROOT,Happy,04 Aug 2018 12:48
Marina & the Diamonds,The Family Jewels,Girls,04 Aug 2018 12:45
Lorde,Pure Heroine,Ribs,02 Aug 2018 22:36
Lorde,Pure Heroine,Ribs,02 Aug 2018 17:20
Allie X,CollXtion II,Casanova,02 Aug 2018 17:16
Marina & the Diamonds,The Family Jewels,Hermit the Frog,02 Aug 2018 17:12
Enya,A Day Without Rain,Only Time,02 Aug 2018 17:08
Enya,A Day Without Rain,Only Time,02 Aug 2018 16:46
Azealia Banks,Anna Wintour,Anna Wintour,02 Aug 2018 16:41
Lady Gaga,ARTPOP,Venus,02 Aug 2018 16:35
Lady Gaga,The Fame (REVISED INTERNATION VER.),Poker Face,02 Aug 2018 10:17
Lady Gaga,Joanne (Deluxe),Perfect Illusion,02 Aug 2018 10:14
Lady Gaga,Born This Way (International Special Edition Version),Born This Way,02 Aug 2018 10:10
Lady Gaga,The Fame (REVISED INTERNATION VER.),Just Dance,02 Aug 2018 10:06
Lady Gaga,The Fame Monster (UK Deluxe),Paper Gangsta,01 Aug 2018 20:25
Lady Gaga,The Fame Monster (UK Deluxe),Boys Boys Boys,01 Aug 2018 20:22
Lady Gaga,The Fame Monster (UK Deluxe),Money Honey,01 Aug 2018 20:19
Lady Gaga,The Fame Monster (UK Deluxe),The Fame,01 Aug 2018 20:15
Lady Gaga,The Fame Monster (UK Deluxe),Beautiful Dirty Rich,01 Aug 2018 20:12
Lady Gaga,The Fame Monster (UK Deluxe),Starstruck,01 Aug 2018 20:09
Lady Gaga,The Fame Monster (UK Deluxe),Eh Eh (Nothing Else I Can Say),01 Aug 2018 20:06
